umap_n_neighbors,umap_min_dist,dbscan_eps,dbscan_min_samples,n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz
60,0.0,0.4,5,18,2.2118510981840703e-05,0.7057691812515259,0.3892981491975331,417306.6875
60,0.0,0.4,10,18,2.2118510981840703e-05,0.7057691812515259,0.3892981491975331,417306.6875
60,0.0,0.4,15,18,2.2118510981840703e-05,0.7057691812515259,0.3892981491975331,417306.6875
60,0.0,0.4,20,18,2.2118510981840703e-05,0.7057691812515259,0.3892981491975331,417306.6875
60,0.0,0.4,30,18,2.2118510981840703e-05,0.7057691812515259,0.3892981491975331,417306.6875
60,0.0,0.4,50,18,2.2118510981840703e-05,0.7057691812515259,0.3892981491975331,417306.6875
25,0.0,0.5,30,20,0.0005529627745460175,0.699944794178009,0.3890634402542612,302686.03125
25,0.0,0.5,50,20,0.0005529627745460175,0.699944794178009,0.3890634402542612,302686.03125
40,0.0,0.3,50,28,0.00028754064276392913,0.6979920268058777,0.36279955161116656,352878.40625
15,0.2,0.1,50,154,0.5361527061998186,0.6974055767059326,0.4111606853930365,618926.1875
40,0.0,0.25,20,28,0.00039813319767313264,0.6970042586326599,0.36192159475968094,352904.875
40,0.0,0.25,10,28,0.00035389617570945125,0.6966435313224792,0.36193956058798854,352840.84375
40,0.0,0.25,15,28,0.00035389617570945125,0.6966435313224792,0.36193956058798854,352840.84375
40,0.0,0.25,5,28,0.00015482957687288493,0.6958884000778198,0.36212554880527625,352557.1875
60,0.0,0.3,5,20,6.63555329455221e-05,0.6949195265769958,0.3821738783879156,384868.375
25,0.0,0.3,5,27,4.4237021963681406e-05,0.6942792534828186,0.377307928898274,309932.65625
25,0.0,0.4,5,22,0.0,0.6927119493484497,0.3791027151401325,278075.375
25,0.0,0.4,10,22,0.0,0.6927119493484497,0.3791027151401325,278075.375
60,0.0,0.3,10,21,6.63555329455221e-05,0.6922685503959656,0.37860664824202495,374395.6875
60,0.0,0.3,15,21,6.63555329455221e-05,0.6922685503959656,0.37860664824202495,374395.6875
60,0.0,0.3,20,21,6.63555329455221e-05,0.6922685503959656,0.37860664824202495,374395.6875
60,0.0,0.3,30,21,6.63555329455221e-05,0.6922685503959656,0.37860664824202495,374395.6875
25,0.0,0.5,20,21,0.0,0.6914554834365845,0.3849286724300834,287770.15625
40,0.0,0.3,30,27,0.00024330362080024774,0.689361572265625,0.37245451075122277,290816.40625
25,0.0,0.3,30,28,0.0007741478843644246,0.6870507597923279,0.36981139151905623,343128.96875
25,0.0,0.4,30,22,0.0005750812855278583,0.6852685809135437,0.3792703830318524,298166.9375
25,0.0,0.4,50,22,0.0005750812855278583,0.6852685809135437,0.3792703830318524,298166.9375
40,0.0,0.3,10,26,6.63555329455221e-05,0.6844102144241333,0.37980988956746614,298581.0
40,0.0,0.3,20,26,0.00022118510981840702,0.683083713054657,0.37974500884028894,298699.375
40,0.0,0.3,15,26,0.00015482957687288493,0.6823031902313232,0.3797640204521517,298691.46875
40,0.0,0.4,50,23,2.2118510981840703e-05,0.6818893551826477,0.4225894339764705,334520.09375
60,0.0,0.15,20,42,0.002057021521311185,0.6806791424751282,0.37147734396931353,650258.625
25,0.0,0.3,15,28,0.00022118510981840702,0.6794134378433228,0.37439396893500554,329293.09375
25,0.0,0.3,20,28,0.00022118510981840702,0.6794134378433228,0.37439396893500554,329293.09375
25,0.0,0.3,10,28,0.00017694808785472562,0.6788488626480103,0.374416041498624,329214.28125
40,0.05,0.3,20,24,0.0005750812855278583,0.6782668232917786,0.38795144129653303,272674.375
60,0.0,0.5,5,17,2.2118510981840703e-05,0.6780835390090942,0.4160222357410332,323813.4375
60,0.0,0.5,10,17,2.2118510981840703e-05,0.6780835390090942,0.4160222357410332,323813.4375
60,0.0,0.5,15,17,2.2118510981840703e-05,0.6780835390090942,0.4160222357410332,323813.4375
60,0.0,0.5,20,17,2.2118510981840703e-05,0.6780835390090942,0.4160222357410332,323813.4375
60,0.0,0.5,30,17,2.2118510981840703e-05,0.6780835390090942,0.4160222357410332,323813.4375
60,0.0,0.5,50,17,2.2118510981840703e-05,0.6780835390090942,0.4160222357410332,323813.4375
25,0.0,0.4,15,23,0.0,0.6778085827827454,0.37588415815794995,284774.4375
25,0.0,0.4,20,23,0.0,0.6778085827827454,0.37593487613690574,284807.125
25,0.0,0.15,20,48,0.002764813872730088,0.677531361579895,0.37747495602378534,448974.71875
40,0.05,0.25,30,29,0.0008626219282917873,0.6767395734786987,0.3801142262653303,256914.953125
10,0.0,0.2,50,49,0.006237420096879078,0.6764425039291382,0.3897319032567641,275548.03125
40,0.05,0.3,50,24,0.0007520293733825838,0.6761912703514099,0.3878829373302282,272713.28125
25,0.0,0.25,20,33,0.00030965915374576986,0.6760969161987305,0.38909087817413024,321023.0
40,0.0,0.3,5,24,4.4237021963681406e-05,0.6750832796096802,0.3861578100706118,241367.390625
40,0.05,0.3,30,24,0.0006414368184733803,0.6749528050422668,0.38792485288595646,272683.90625
40,0.05,0.3,10,25,0.00017694808785472562,0.6746185421943665,0.3851388386752271,261471.65625
40,0.05,0.3,15,25,0.00017694808785472562,0.6746185421943665,0.3851388386752271,261471.65625
40,0.0,0.4,20,19,2.2118510981840703e-05,0.6745648384094238,0.4141931289969746,294947.78125
40,0.0,0.4,30,19,2.2118510981840703e-05,0.6745648384094238,0.4141931289969746,294947.78125
40,0.0,0.5,5,17,2.2118510981840703e-05,0.6734674572944641,0.4073906318886924,184410.578125
40,0.0,0.5,10,17,2.2118510981840703e-05,0.6734674572944641,0.4073906318886924,184410.578125
40,0.0,0.5,15,17,2.2118510981840703e-05,0.6734674572944641,0.4073906318886924,184410.578125
40,0.0,0.5,20,17,2.2118510981840703e-05,0.6734674572944641,0.4073906318886924,184410.578125
40,0.0,0.5,30,17,2.2118510981840703e-05,0.6734674572944641,0.4073906318886924,184410.578125
40,0.0,0.5,50,17,2.2118510981840703e-05,0.6734674572944641,0.4073906318886924,184410.578125
40,0.05,0.25,5,27,0.00030965915374576986,0.6731457114219666,0.3718948449159124,242333.59375
40,0.05,0.25,10,27,0.0003760146866912919,0.6730189323425293,0.37185134135126746,242341.40625
40,0.0,0.25,30,30,0.00039813319767313264,0.6719966530799866,0.3797856525357266,417855.5
25,0.0,0.2,10,36,0.0005087257525823362,0.6719673275947571,0.36390175235923494,304716.375
40,0.05,0.3,5,25,0.00011059255490920351,0.6718645691871643,0.38524896229946703,261473.078125
25,0.0,0.25,10,32,0.00024330362080024774,0.6701242923736572,0.3936026219328498,324719.59375
40,0.05,0.25,15,27,0.00044237021963681403,0.6700955629348755,0.3718414104002512,242342.5625
60,0.0,0.2,5,29,0.00022118510981840702,0.6700265407562256,0.44530517771570854,433271.03125
25,0.0,0.25,5,31,6.63555329455221e-05,0.669536828994751,0.4027328881988847,330116.03125
25,0.0,0.25,15,32,0.0002654221317820884,0.6681064963340759,0.39359328433004626,324762.125
60,0.0,0.15,30,44,0.003848620910840282,0.6679683327674866,0.3988412544252805,673374.3125
25,0.0,0.15,15,44,0.0019685474773838223,0.6672436594963074,0.37258798526744513,452823.9375
25,0.2,0.1,50,162,0.40808652761496095,0.6642599701881409,0.44281401452251795,635474.375
40,0.0,0.25,50,33,0.00046448873061865476,0.6640534400939941,0.409932021482242,470507.3125
40,0.05,0.2,10,32,0.0007077923514189025,0.663994312286377,0.374380694988417,313072.71875
40,0.0,0.2,5,29,0.00028754064276392913,0.6639887690544128,0.4027307800271608,349705.75
60,0.0,0.25,5,22,0.0001327110658910442,0.6638932228088379,0.4159378938856986,365532.53125
25,0.0,0.5,5,20,0.0,0.6635252833366394,0.40888443183085244,222223.453125
25,0.0,0.5,10,20,0.0,0.6635252833366394,0.40888443183085244,222223.453125
25,0.0,0.5,15,20,0.0,0.6635252833366394,0.40888443183085244,222223.453125
60,0.0,0.2,30,36,0.0009953329941828316,0.6633429527282715,0.3890502543639822,476291.5625
40,0.05,0.25,20,27,0.0008405034173099467,0.6626591682434082,0.3967332299242898,258822.265625
60,0.1,0.4,5,16,0.0,0.6613257527351379,0.41896547550254937,214845.671875
60,0.1,0.5,10,16,0.0,0.6613257527351379,0.41896547550254937,214845.671875
60,0.1,0.5,15,16,0.0,0.6613257527351379,0.41896547550254937,214845.671875
60,0.1,0.5,20,16,0.0,0.6613257527351379,0.41896547550254937,214845.671875
60,0.1,0.5,30,16,0.0,0.6613257527351379,0.41896547550254937,214845.671875
60,0.1,0.5,50,16,0.0,0.6613257527351379,0.41896547550254937,214845.671875
60,0.0,0.25,15,24,0.00017694808785472562,0.6609973907470703,0.44625875703504403,376966.25
40,0.0,0.2,30,34,0.0006856738404370618,0.6608774065971375,0.39917450358871687,469647.96875
60,0.0,0.2,15,33,0.0004866072416004955,0.6606850624084473,0.3999614472156107,500952.625
40,0.0,0.2,20,34,0.0005750812855278583,0.6604059338569641,0.39922822688005377,469601.59375
