UMAP_1,UMAP_2,kmeans_cluster
3.8111875,-4.9176474,0
11.073953,-0.19719282,13
18.949793,3.2358005,16
6.9384594,-7.3280587,6
6.3039155,7.7169905,7
3.8081565,-5.085818,0
18.110632,5.4947214,16
-9.040567,3.7343738,5
9.216102,-6.4438825,14
11.050032,-0.15687835,13
7.392621,-3.2037642,4
10.977449,-0.46364957,13
6.584425,-9.091939,6
6.909566,-7.3409977,6
6.4387374,-9.139664,6
9.258078,-6.443306,14
10.330532,-0.5445116,13
9.331304,-6.442262,14
9.247166,-6.4524255,14
6.385561,-9.631382,6
18.966488,3.1706061,16
3.958607,-4.9643016,0
18.552591,5.4647837,16
6.3801765,-9.629789,6
18.080957,3.763417,16
6.288307,-9.1462345,6
7.4744673,0.3700399,9
18.769308,3.3697524,16
10.998204,-0.3580299,13
18.61877,5.740104,16
16.047983,5.654159,3
3.8809688,-4.9751515,0
18.815613,3.3764114,16
6.9285593,-9.120883,6
3.4898012,-4.27306,0
7.2758956,-3.2580423,4
6.9228354,-9.52961,6
0.52363026,3.8043935,10
7.4470572,-3.1656802,4
10.963034,-0.47077328,13
7.386042,-3.2547758,4
6.6044264,-9.106933,6
6.9393544,-7.335664,6
6.358534,-9.031709,6
6.8970337,-7.3348055,6
9.996662,-1.0729032,13
3.8606658,-5.0398493,0
6.5656066,-9.073129,6
3.8541121,4.060356,2
7.463962,0.3619811,9
6.896687,-9.139722,6
6.125424,-2.9246123,4
3.7559538,-5.0870185,0
10.986213,-0.31623638,13
18.635237,5.736275,16
17.216312,6.602474,3
7.468635,0.3374721,9
6.9346104,-7.325998,6
10.328171,-0.49338403,13
9.281792,-5.9421983,14
3.7421575,-5.0810375,0
7.279683,-3.2516332,4
9.311235,-6.4196086,14
6.3757324,-9.581801,6
6.918225,-7.310615,6
3.8469868,-4.782897,0
0.16235769,6.52197,8
6.133388,-2.9249418,4
6.535763,-8.967091,6
18.673758,5.6860585,16
18.89997,3.511788,16
18.957924,3.2536638,16
18.769182,3.3505144,16
9.339576,-6.3898463,14
6.4417505,-9.019584,6
6.5617156,-9.058071,6
16.069126,5.651579,3
3.7919855,4.096008,2
18.67694,4.621703,16
-9.056167,3.8026402,5
10.97771,-0.38759902,13
3.7854083,4.111576,2
11.074477,-0.21817598,13
6.2877936,-8.973686,6
17.645025,4.5063024,16
9.2738,-6.255939,14
0.57566494,3.7944703,10
6.444508,-9.197691,6
18.662977,4.6378,16
6.481921,-8.93833,6
6.434339,7.3785744,7
18.88942,3.3106935,16
6.3545995,-9.139724,6
6.9352684,-7.3236775,6
3.7729332,4.13065,2
17.682007,4.4831066,16
0.845037,3.8778124,10
3.9536467,-4.9793444,0
6.571149,-9.29179,6
3.9352343,-5.0178432,0
6.9689693,-9.336159,6
2.1442475,5.615155,2
9.354661,-6.377964,14
8.876702,-6.3891234,14
7.5312834,0.41391551,9
6.9770536,-9.245204,6
3.9674542,-4.9618793,0
16.06619,5.641015,3
10.996347,-0.37906677,13
3.7577288,-4.904299,0
7.449734,-3.1860096,4
3.7782269,4.109545,2
18.061186,3.8163226,16
9.481064,-6.1248956,14
7.7265677,-3.8424962,4
6.975688,-9.329237,6
6.276818,-9.269215,6
7.461422,0.38041005,9
4.4750853,4.7710795,2
2.0952427,5.667864,2
7.2241044,-3.3084433,4
6.910699,-9.149515,6
6.72518,-7.994349,6
18.8607,3.3044982,16
16.015972,6.3251915,3
11.052071,-0.16046502,13
18.636854,5.7302513,16
18.951473,3.2656648,16
7.027645,-9.569781,6
6.2590957,-8.990383,6
0.9596645,5.1682973,10
11.01666,-0.31119323,13
11.011301,-0.19261225,13
18.653599,5.702341,16
7.4830494,0.36282042,9
7.0139103,-9.563433,6
11.054499,-0.15990181,13
6.3067646,7.703027,7
6.8718586,-9.484691,6
6.8010435,-9.222719,6
7.7222705,-3.8329005,4
11.062549,-0.26049307,13
0.2721297,6.6415014,8
7.010019,-9.543904,6
6.9194913,-9.163836,6
6.390601,-9.640316,6
7.7348075,-3.8489468,4
6.6110663,-9.145941,6
9.417828,-6.3097086,14
9.277465,-6.2234936,14
6.940623,-7.342693,6
11.109918,-0.36926496,13
3.4917374,-4.8423815,0
6.585144,-9.395435,6
2.0614629,5.620578,2
6.415508,-9.5397625,6
6.9885883,-7.307623,6
7.2997804,-3.2674606,4
6.83649,-8.548321,6
6.9531097,-9.180043,6
6.9298587,-7.334961,6
7.492871,0.34081572,9
10.915357,-0.42085147,13
6.812327,-8.597872,6
6.5450993,-9.124387,6
11.023491,-0.4733949,13
3.9040205,-4.989841,0
6.5168686,-8.968162,6
0.15647618,6.694929,8
2.1743832,5.612345,2
6.6888156,-9.352234,6
18.827717,3.3243005,16
6.9209585,-7.3422585,6
6.054923,7.7928257,7
7.3476486,-3.310556,4
7.3855553,-3.2428746,4
6.6289454,-9.201606,6
6.5280457,-9.361421,6
6.3999577,-9.204748,6
6.6514277,-9.172193,6
3.7246256,-5.0765357,0
7.3584805,-3.158819,4
6.379496,-9.522755,6
6.5033526,-9.314365,6
3.6712937,-5.016364,0
9.250369,-6.4390674,14
7.060804,-3.2750623,4
0.8090616,4.039629,10
18.596413,5.761126,16
7.5095854,0.43930912,9
6.4209576,-8.913229,6
3.7746403,-5.075833,0
3.9323514,-4.9578457,0
6.2504315,-9.27544,6
6.99877,-9.530339,6
11.244611,-0.4365466,13
6.3765926,-9.647548,6
16.65197,6.5878735,3
3.9099863,-5.03252,0
7.736884,-3.854129,4
6.362926,-9.174619,6
3.8664668,-4.953177,0
6.854312,-9.266077,6
10.34637,-0.538231,13
6.3562098,-9.592093,6
6.200658,-8.911792,6
17.648052,4.4835753,16
3.8920875,-5.0226574,0
10.405427,-0.53702825,13
6.693707,-9.168695,6
7.0122814,-9.523634,6
6.4951706,-8.955669,6
3.5190492,4.685588,2
6.410108,-9.60467,6
9.332255,-6.407491,14
3.79955,-5.032359,0
0.9380483,5.157601,10
0.94229406,5.1610537,10
2.0756946,5.661644,2
17.650335,4.4843416,16
6.5821013,-9.429344,6
9.565011,-6.135354,14
7.4177556,-3.228503,4
16.078918,5.674701,3
7.270498,-3.2581415,4
9.330603,-6.4130073,14
6.930197,-7.346906,6
7.4858513,0.37080762,9
0.978933,5.138172,10
7.361842,-3.2645981,4
9.364684,-6.4242926,14
6.3716993,-9.5641985,6
6.50951,-9.107339,6
1.0168262,5.1637135,10
9.33078,-6.4055204,14
9.376752,-6.400141,14
7.364262,-3.3385718,4
9.546653,-6.1702456,14
7.382852,-3.266976,4
18.312103,4.433635,16
18.784866,3.3726408,16
6.879293,-7.3038106,6
1.0003736,3.667055,10
6.539809,-9.117941,6
3.9022648,-4.7411566,0
0.9025433,5.1825833,10
11.183326,-0.502694,13
3.85383,-5.0712075,0
6.9914265,-9.506239,6
6.308665,-8.998182,6
6.34071,-9.212492,6
18.80843,3.2924085,16
10.896178,-0.6325034,13
7.397137,-3.2235093,4
7.470251,0.31790298,9
9.46106,-6.078639,14
7.2898774,-3.3075657,4
10.872081,-0.20548117,13
18.987143,3.24609,16
6.9387465,-9.515067,6
6.7862134,-9.174573,6
7.477708,0.3338825,9
6.5664916,-9.232527,6
6.1626534,-2.970367,4
9.482929,-6.2604938,14
7.516499,0.34814158,9
7.518866,0.43993732,9
7.4294486,-3.2164752,4
18.09385,3.7893007,16
9.405152,-6.04457,14
18.097557,5.4622884,16
7.795787,-3.8874593,4
6.5732975,-8.560663,6
3.7616472,4.1466866,2
6.1733794,-9.32673,6
6.6425066,-8.674215,6
7.348796,-3.2289755,4
0.8937527,3.8375077,10
10.908437,-0.59669596,13
0.17887527,6.9340053,8
9.030035,-6.265582,14
18.906006,3.2934356,16
-0.3415781,6.872662,8
9.32366,-6.414381,14
11.18387,-0.51994747,13
10.951843,-0.48711956,13
6.3211546,-9.1588745,6
7.783432,0.27020374,9
6.9442315,-9.528257,6
6.6445503,-9.438774,6
3.8303366,-5.065755,0
10.3065,-0.5081216,13
10.66372,-0.40510204,13
0.1748534,6.6786036,8
6.4360533,-8.472714,6
7.6989455,-3.7859952,4
11.206014,-0.5074498,13
11.030976,-0.5111595,13
7.7680964,-3.888485,4
6.5294724,-8.944819,6
6.955831,-7.3340807,6
6.356458,-9.1466675,6
6.484832,-8.965472,6
10.913821,-0.61024845,13
6.924174,-7.365161,6
6.528486,-9.010098,6
3.98193,-5.0279436,0
6.8502555,-8.538758,6
18.815748,3.2976017,16
6.908005,-7.3166676,6
6.372089,-9.098358,6
6.9045005,-7.352749,6
18.499367,4.5147004,16
18.67736,4.6234107,16
5.6173825,8.732227,15
6.255489,-9.1669235,6
19.04025,3.199473,16
11.017933,-0.19293652,13
6.0371675,7.8271055,7
6.9423985,-9.424052,6
6.8958783,-9.157583,6
6.949486,-7.330439,6
6.6879835,-8.543853,6
4.5029798,4.7762055,2
10.956245,-0.45517805,13
5.4592757,8.640998,15
10.668598,-0.39025715,13
3.881534,-4.7688975,0
6.8704567,-7.412437,6
6.9913454,-9.450525,6
0.67539155,3.8156037,10
6.872561,-7.3181267,6
11.202053,-0.4961036,13
7.769355,0.25037462,9
5.924086,-2.9384193,4
6.7843156,-8.498069,6
10.95192,-0.37606636,13
18.757332,3.3858762,16
-8.939982,3.635291,5
10.867375,-0.6623467,13
10.708933,-0.45202228,13
7.2314243,-3.1880295,4
7.4469194,-3.254442,4
9.295544,-6.3468304,14
3.9979987,-4.7380676,0
0.9463802,5.145307,10
6.5883403,-8.460411,6
9.339965,-6.0357523,14
3.9940598,-4.7632327,0
3.9864519,-4.8383045,0
7.484752,0.31530747,9
6.7447147,-9.139512,6
6.5403194,-8.495399,6
6.997352,-9.516503,6
3.9219847,4.433565,2
10.9756975,-0.47944316,13
10.613243,-0.3115343,13
7.5241637,0.3561919,9
6.841335,-8.464531,6
7.5409155,0.39116016,9
3.8901434,-4.9652586,0
6.3393135,-9.4984255,6
6.6559744,-8.508499,6
18.926191,3.349909,16
6.551438,-8.6028385,6
3.880992,-5.0171394,0
7.437603,-3.1143618,4
6.1508107,-2.9411166,4
6.1542606,-2.9220917,4
10.996726,-0.5093502,13
6.369362,-9.621075,6
18.955084,3.2856824,16
0.8275451,3.5547683,10
11.056775,-0.33624113,13
6.9366493,-7.317201,6
11.172516,-0.4711225,13
6.523154,7.3798084,7
9.4025955,-6.3536243,14
3.7616606,-5.0662656,0
6.9653034,-9.151181,6
6.99458,-9.533883,6
18.86597,3.269044,16
0.71755886,3.9522324,10
0.90786207,5.131882,10
6.9359856,-9.499905,6
18.866295,3.4285178,16
6.886661,-7.294745,6
6.6527367,-8.441628,6
17.636175,4.521716,16
7.29142,-3.5291684,4
7.253046,-3.1436307,4
3.5142884,-4.625509,0
6.1886115,-2.9501956,4
6.1948433,-9.389774,6
6.7946334,-9.2532625,6
18.650433,5.7316756,16
10.959205,-0.456151,13
1.0273902,3.6464124,10
16.041538,5.6356196,3
9.347394,-6.4015613,14
9.434265,-6.3451734,14
18.850996,3.3751273,16
7.465345,0.4372236,9
6.3891354,-9.162879,6
